0,0
20,0
40,0
60,0
80,0
100,0
120,0
140,0
160,0
180,0
200,0
220,0
240,0
260,0
280,0
300,0
320,0
340,1
360,0
380,0
400,0
420,0
440,0
460,0
480,1
500,1
520,1
540,1
560,1
580,0
600,1
620,1
640,0
660,0
680,0
700,0
720,0
740,1
760,0
780,0
800,0
820,0
840,0
860,0
880,0
900,2
920,35
940,49
960,58
980,75
1000,79
1020,70
1040,74
1060,69
1080,60
1100,62
1120,61
1140,53
1160,51
1180,44
1200,29
1220,13
1240,5
1260,6
1280,4
1300,2
1320,1
1340,2
1360,2
1380,1
1400,1
1420,1
1440,1
1460,0
1480,1
1500,1
1520,0
1540,1
1560,0
1580,1
1600,1
1620,2
1640,45
1660,64
1680,86
1700,79
1720,75
1740,71
1760,59
1780,49
1800,50
1820,41
1840,32
1860,23
1880,7
1900,9
1920,3
1940,3
1960,2
1980,1
2000,1
2020,1
2040,1
2060,1
2080,1
2100,0
2120,1
2140,1
2160,0
2180,1
2200,1
2220,2
2240,5
2260,4
2280,4
2300,4
2320,35
2340,68
2360,74
2380,74
2400,72
2420,67
2440,64
2460,62
2480,51
2500,41
2520,37
2540,25
2560,16
2580,13
2600,9
2620,4
2640,2
2660,1
2680,1
2700,1
2720,1
2740,1
2760,1
2780,0
2800,1
2820,1
2840,2
2860,4
2880,5
2900,5
2920,5
2940,6
2960,6
2980,6
3000,9
3020,56
3040,84
3060,78
3080,72
3100,50
3120,56
3140,53
3160,36
3180,26
3200,10
3220,8
3240,9
3260,3
3280,2
3300,1
3320,1
3340,1
3360,1
3380,1
3400,1
3420,1
3440,1
3460,0
3480,0
3500,1
3520,1
3540,1
3560,1
3580,1
3600,1
3620,1
3640,1
3660,0
3680,1
3700,24
3720,40
3740,40
3760,43
3780,39
3800,35
3820,37
3840,31
3860,45
3880,38
3900,33
3920,19
3940,15
3960,5
3980,3
4000,2
4019,2
4040,1
4059,1
4080,1
4100,1
4120,1
4140,0
4160,1
4180,1
4200,0
4220,1
4240,1
4260,1
4280,1
4300,1
4320,24
4340,78
4360,106
4380,107
4400,121
4420,111
4440,94
4460,81
4480,75
4500,56
4520,58
4540,39
4560,34
4580,19
4600,17
4620,13
4640,9
4660,4
4680,2
4700,2
4720,1
4740,1
4760,1
4780,1
4800,0
4820,1
4840,1
4860,0
4880,1
4900,0
4920,0
4940,1
4960,2
4980,5
5000,12
5020,13
5040,12
5060,10
5080,6
5100,66
5120,114
5140,110
5160,104
5180,92
5200,85
5220,74
5240,60
5260,42
5280,27
5300,24
5320,12
5340,9
5360,7
5380,3
5400,2
5420,2
5440,2
5460,1
5480,0
5500,1
5520,1
5540,0
5560,1
5580,0
5600,0
5620,0
5640,0
5660,0
5680,1
5700,0
5720,49
5740,80
5760,84
5780,90
5800,90
5820,86
5840,81
5860,74
5880,58
5900,43
5920,21
5940,12
5960,8
5980,6
6000,4
6020,2
6040,2
6060,1
6080,1
6100,1
6120,1
6140,1
6160,1
6180,1
6200,0
6220,0
6240,1
6260,0
6280,0
6300,1
6320,2
6340,2
6360,6
6380,11
6400,5
6420,44
6440,64
6460,65
6480,38
6500,34
6520,29
6540,22
6560,17
6580,9
6600,7
6620,3
6640,2
6660,2
6680,1
6700,0
6720,1
6740,1
6760,1
6780,0
6800,1
6820,1
6840,1
6860,1
6880,1
6900,2
6920,4
6940,6
6960,5
6980,6
7000,5
7020,4
7040,4
7060,27
7080,42
7100,42
7120,49
7140,49
7160,51
7180,35
7200,16
7220,4
7240,4
7260,3
7280,2
7300,1
7320,1
7340,0
7360,1
7380,1
7400,1
7420,1
7440,0
7460,1
7480,1
7500,0
7520,0
7540,1
7560,1
7580,0
7600,0
7620,0
7640,0
7660,0
7680,1
7700,0
7720,0
7740,0
7760,0
7780,0
7800,0
